anchor_text_norm	slug	label	title	node_type
4 -	cf-1988-art-29-inc-4	IV		inciso
4-	cf-1988-art-29-inc-4	IV		inciso
inc 4	cf-1988-art-29-inc-4	IV		inciso
inc iv	cf-1988-art-29-inc-4	IV		inciso
inc. 4	cf-1988-art-29-inc-4	IV		inciso
inc. iv	cf-1988-art-29-inc-4	IV		inciso
inciso 4	cf-1988-art-29-inc-4	IV		inciso
inciso iv	cf-1988-art-29-inc-4	IV		inciso
iv	cf-1988-art-29-inc-4	IV		inciso
iv -	cf-1988-art-29-inc-4	IV		inciso
iv-	cf-1988-art-29-inc-4	IV		inciso
a	cf-1988-art-29-inc-4-ali-a	a)		alinea
a)	cf-1988-art-29-inc-4-ali-a	a)		alinea
ali a	cf-1988-art-29-inc-4-ali-a	a)		alinea
alinea a	cf-1988-art-29-inc-4-ali-a	a)		alinea
ali b	cf-1988-art-29-inc-4-ali-b	b)		alinea
alinea b	cf-1988-art-29-inc-4-ali-b	b)		alinea
b	cf-1988-art-29-inc-4-ali-b	b)		alinea
b)	cf-1988-art-29-inc-4-ali-b	b)		alinea
ali c	cf-1988-art-29-inc-4-ali-c	c)		alinea
alinea c	cf-1988-art-29-inc-4-ali-c	c)		alinea
c	cf-1988-art-29-inc-4-ali-c	c)		alinea
c)	cf-1988-art-29-inc-4-ali-c	c)		alinea
ali d	cf-1988-art-29-inc-4-ali-d	d)		alinea
alinea d	cf-1988-art-29-inc-4-ali-d	d)		alinea
d	cf-1988-art-29-inc-4-ali-d	d)		alinea
d)	cf-1988-art-29-inc-4-ali-d	d)		alinea
ali e	cf-1988-art-29-inc-4-ali-e	e)		alinea
alinea e	cf-1988-art-29-inc-4-ali-e	e)		alinea
e	cf-1988-art-29-inc-4-ali-e	e)		alinea
e)	cf-1988-art-29-inc-4-ali-e	e)		alinea
ali f	cf-1988-art-29-inc-4-ali-f	f)		alinea
alinea f	cf-1988-art-29-inc-4-ali-f	f)		alinea
f	cf-1988-art-29-inc-4-ali-f	f)		alinea
f)	cf-1988-art-29-inc-4-ali-f	f)		alinea
ali g	cf-1988-art-29-inc-4-ali-g	g)		alinea
alinea g	cf-1988-art-29-inc-4-ali-g	g)		alinea
