anchor_text_norm	slug	label	title	node_type
vi-	cf-1988-art-30-inc-6	VI		inciso
7	cf-1988-art-30-inc-7	VII		inciso
7 -	cf-1988-art-30-inc-7	VII		inciso
7-	cf-1988-art-30-inc-7	VII		inciso
inc 7	cf-1988-art-30-inc-7	VII		inciso
inc vii	cf-1988-art-30-inc-7	VII		inciso
inc. 7	cf-1988-art-30-inc-7	VII		inciso
inc. vii	cf-1988-art-30-inc-7	VII		inciso
inciso 7	cf-1988-art-30-inc-7	VII		inciso
inciso vii	cf-1988-art-30-inc-7	VII		inciso
vii	cf-1988-art-30-inc-7	VII		inciso
vii -	cf-1988-art-30-inc-7	VII		inciso
vii-	cf-1988-art-30-inc-7	VII		inciso
8	cf-1988-art-30-inc-8	VIII		inciso
8 -	cf-1988-art-30-inc-8	VIII		inciso
8-	cf-1988-art-30-inc-8	VIII		inciso
inc 8	cf-1988-art-30-inc-8	VIII		inciso
inc viii	cf-1988-art-30-inc-8	VIII		inciso
