anchor_text_norm	slug	label	title	node_type	namespace	variant_origin	match_priority
1 -	cf-1988-art-15-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-150-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-151-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-153-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-153-par-2-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-153-par-3-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-153-par-4-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-153-par-5-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-153-par-6-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-154-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-155-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-155-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-155-par-2-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-155-par-4-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-155-par-6-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-156-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-156-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-156-par-2-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-156-par-3-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-156-par-4-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-156-par-5-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-156-par-6-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-156-par-7-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-156-par-9-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-157-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-158-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-158-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-158-par-2-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-159-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-159-par-4-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-161-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-163-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-165-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-165-par-11-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-165-par-5-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-165-par-9-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-166-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-166-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-166-par-14-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-166-par-2-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-166-par-3-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-166-par-4-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-167-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-167-par-2-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-167-par-3-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-167-par-5-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-167-par-6-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-169-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-169-par-3-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-17-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-17-par-3-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-170-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-173-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-175-par-unico-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-177-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-177-par-2-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-177-par-4-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-182-par-4-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-185-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-186-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-187-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-19-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-192-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-194-par-unico-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-195-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-198-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-198-par-2-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-198-par-3-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-20-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-200-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-201-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-201-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-201-par-7-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-203-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-204-inc-1	I		inciso	cf	inc_arab_hif	97
