numero	processo	classe	incidente	peca_id	url_type	url
1076	761	ADI			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=761&CLASSE=ADI&cod_classe=504&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1077	180652	AI-AgR			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=180652&CLASSE=AI%2DAgR&cod_classe=510&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1078				15360854255	peca	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15360854255&ext=.pdf
1079			6051995		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=6051995
1080	70648	HC			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=70648&CLASSE=HC&cod_classe=349&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1081	1626	ADI-MC			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=1626&CLASSE=ADI%2DMC&cod_classe=555&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1082	22431	MS			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=22431&CLASSE=MS&cod_classe=376&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1083	163204	RE			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?SEQ=214228&PROCESSO=163204&CLASSE=RE&cod_classe=437&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=&EMENTA=1781
1084	22182	MS			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=22182&CLASSE=MS&cod_classe=376&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1085	135452	AI			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=135452&CLASSE=AI&cod_classe=46&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1086	186116	RE			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=186116&CLASSE=RE&cod_classe=437&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1087	358961	RE			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=358961&CLASSE=RE&cod_classe=437&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1088			6360473		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=6360473
1089	115770	RE			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=115770&CLASSE=RE&cod_classe=437&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1090	1694	ADI-MC			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=1694&CLASSE=ADI%2DMC&cod_classe=555&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1091			6141758		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=6141758
1092				15372218152	peca	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15372218152&ext=.pdf
1093			2087048		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=2087048
1094			1605517		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=1605517
1095			1985762		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=1985762
1096	1182	ADI			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=1182&CLASSE=ADI&cod_classe=504&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M&EMENTA=2224
1097	2819	ADI			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=2819&CLASSE=ADI&cod_classe=504&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M&EMENTA=2216
1098	236	ADI			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=236&CLASSE=ADI&cod_classe=504&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1099			6789314		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=6789314
1100			6303008		detalhe	http://portal.stf.jus.br/processos/detalhe.asp?incidente=6303008
1101			5855873		detalhe	http://portal.stf.jus.br/processos/detalhe.asp?incidente=5855873
1102			5222622		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=5222622
