com_id	artigo	url	link_label	referencia	texto_preview
96644	cf-art-1	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15374289752&amp;ext=.pdf	ARE 1.058.822 RG	 ARE 1.058.822 RG , rel. min. Alexandre de Moraes, j. 21-2-2025, P, DJE de 28-2-2025, Tema 1.375 , com mérito pendente.	Repercussão geral Análise da recepção da Lei nº 6.683, de 28 de agosto de 1979, em relação aos crimes permanentes e àqueles que caracterizaram graves 
96644	cf-art-1	https://portal.stf.jus.br/jurisprudenciaRepercussao/tema.asp?num=1375	Tema 1.375	 ARE 1.058.822 RG , rel. min. Alexandre de Moraes, j. 21-2-2025, P, DJE de 28-2-2025, Tema 1.375 , com mérito pendente.	Repercussão geral Análise da recepção da Lei nº 6.683, de 28 de agosto de 1979, em relação aos crimes permanentes e àqueles que caracterizaram graves 
2569	cf-art-1	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=74517	HC 73.454	 HC 73.454 , rel. min. Maurício Corrêa, j. 22-4-1996, 2 T, DJ de 7-6-1996.	Julgado correlato Ninguém é obrigado a cumprir ordem ilegal, ou a ela se submeter, ainda que emanada de autoridade judicial. Mais: é dever de cidadani
73735	cf-art-1	https://jurisprudencia.stf.jus.br/pages/search/seq-sumula760/false	Súmula Vinculante 11	 Súmula Vinculante 11 .;  Súmula Vinculante 56 .	Só é lícito o uso de algemas em casos de resistência e de fundado receio de fuga ou de perigo à integridade física própria ou alheia, por parte do pre
73735	cf-art-1	https://jurisprudencia.stf.jus.br/pages/search/seq-sumula815/false	Súmula Vinculante 56	 Súmula Vinculante 11 .;  Súmula Vinculante 56 .	Só é lícito o uso de algemas em casos de resistência e de fundado receio de fuga ou de perigo à integridade física própria ou alheia, por parte do pre
97187	cf-art-1	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15383698071&amp;ext=.pdf	ARE 1.551.254 AgR	 ARE 1.551.254 AgR , rel. min. Cristiano Zanin, j. 22-12-2025, P, DJE de 2-2-2026.	Controle concentrado de constitucionalidade Concurso público. Exames ginecológicos invasivos. Discriminação de gênero. (...) A determinação de exames 
97002	cf-art-1	http://portal.stf.jus.br/processos/detalhe.asp?incidente=5206804	ADPF 466	 ADPF 466 , rel. min. Rosa Weber, red. do ac. min. Nunes Marques, j. 15-10-2025, P, Informativo STF 1.195 .;  ADPF 522 , rel. min. Marco Aurélio, red. min. Cristiano Zanin, j. 15-15-2025, P, Informati	São inconstitucionais por usurparem a competência privativa da União para legislar sobre as diretrizes e bases da educação nacional (CF/1988, art. 22,
97002	cf-art-1	http://www.stf.jus.br/arquivo/cms/informativoSTF/anexo/Informativo_PDF/Informativo_stf_1195.pdf	1.195	 ADPF 466 , rel. min. Rosa Weber, red. do ac. min. Nunes Marques, j. 15-10-2025, P, Informativo STF 1.195 .;  ADPF 522 , rel. min. Marco Aurélio, red. min. Cristiano Zanin, j. 15-15-2025, P, Informati	São inconstitucionais por usurparem a competência privativa da União para legislar sobre as diretrizes e bases da educação nacional (CF/1988, art. 22,
97002	cf-art-1	http://portal.stf.jus.br/processos/detalhe.asp?incidente=5485351	ADPF 522	 ADPF 466 , rel. min. Rosa Weber, red. do ac. min. Nunes Marques, j. 15-10-2025, P, Informativo STF 1.195 .;  ADPF 522 , rel. min. Marco Aurélio, red. min. Cristiano Zanin, j. 15-15-2025, P, Informati	São inconstitucionais por usurparem a competência privativa da União para legislar sobre as diretrizes e bases da educação nacional (CF/1988, art. 22,
97002	cf-art-1	http://www.stf.jus.br/arquivo/cms/informativoSTF/anexo/Informativo_PDF/Informativo_stf_1195.pdf	1.195	 ADPF 466 , rel. min. Rosa Weber, red. do ac. min. Nunes Marques, j. 15-10-2025, P, Informativo STF 1.195 .;  ADPF 522 , rel. min. Marco Aurélio, red. min. Cristiano Zanin, j. 15-15-2025, P, Informati	São inconstitucionais por usurparem a competência privativa da União para legislar sobre as diretrizes e bases da educação nacional (CF/1988, art. 22,
96818	cf-art-1	http://portal.stf.jus.br/processos/detalhe.asp?incidente=2679600	ADI 4.245	 ADI 4.245 e ADI 7.686 , rel. min. Luís Roberto Barroso, j. 27-8-2025, P, Informativo STF 1.188 .	"""1. A Convenção da Haia de 1980 sobre os aspectos civis da subtração internacional de crianças é compatível com a Constituição Federal, possuindo stat"
96818	cf-art-1	http://portal.stf.jus.br/processos/detalhe.asp?incidente=6985097	ADI 7.686	 ADI 4.245 e ADI 7.686 , rel. min. Luís Roberto Barroso, j. 27-8-2025, P, Informativo STF 1.188 .	"""1. A Convenção da Haia de 1980 sobre os aspectos civis da subtração internacional de crianças é compatível com a Constituição Federal, possuindo stat"
96818	cf-art-1	http://www.stf.jus.br/arquivo/cms/informativoSTF/anexo/Informativo_PDF/Informativo_stf_1188.pdf	1.188	 ADI 4.245 e ADI 7.686 , rel. min. Luís Roberto Barroso, j. 27-8-2025, P, Informativo STF 1.188 .	"""1. A Convenção da Haia de 1980 sobre os aspectos civis da subtração internacional de crianças é compatível com a Constituição Federal, possuindo stat"
96909	cf-art-1	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15380159117&amp;ext=.pdf	ADI 7.600	 ADI 7.600 , ADI 7.601 e 7.608 , rel. min. Dias Toffoli, j. 1º-7-2025, P, DJE de 15-9-2025.	Nas diligências para a localização do bem móvel dado em garantia em alienação fiduciária e em sua apreensão, previstas nos §§ 4º, 5º e 7º do art. 8º-C
