index	url	context
1	https://portal.stf.jus.br/textos/verTexto.asp?servico=jurisprudenciaOmissaoInconstitucional	o disponíveis para consulta no sítio do Tribunal (https://portal.stf.jus.br/textos/verTexto.asp?servico=jurisprudenciaOmissaoInconstitucional). “I - A Constituição Federal não prevê adicional
2	http://www.stf.jus.br/portal/jurisprudenciaRepercussao/pesquisarProcesso.asp	o disponíveis para consulta no sítio do Tribunal (http://www.stf.jus.br/portal/jurisprudenciaRepercussao/pesquisarProcesso.asp) Julgados correlatos “Nos recursos extraordinário
