numero	classe	numero_processo	relator	redator	data_julgamento	orgao	dje	tema_rg	raw
1247	RHC	92.886							[RHC 92.886 AgR, rel. min. Joaquim Barbosa, j. 21-9-2010, 2ª T, DJE de 22-10-2010.]
1248	HC	91.716	J						[HC 91.716, rel. min. Joaquim Barbosa, j. 31-8-2010, 2ª T, DJE de 1º-10-2010.]
1249	HC	102.422	D						[HC 102.422, rel. min. Dias Toffoli, j. 10-6-2010, P, DJE de 14-9-2011.]
1250	HC	84.486							[HC 84.486 AgR, rel. min. Celso de Mello, j. 1º-6-2010, 2ª T, DJE de 6-8-2010.]
1251	HC	99.417	R						[HC 99.417, rel. min. Ricardo Lewandowski, j. 1º-6-2010, 1ª T, DJE de 18-6-2010.]
1252	HC	101.918	R						[HC 101.918, rel. min. Ricardo Lewandowski, j. 11-5-2010, 1ª T, DJE de 4-6-2010.]
1253	HC	102.783	C						[HC 102.783, rel. min. Cármen Lúcia, j. 4-5-2010, 1ª T, DJE de 28-5-2010.]
1254	HC	95.431	M						[HC 95.431, rel. min. Marco Aurélio, j. 27-4-2010, 1ª T, DJE de 14-5-2010.]
1255	HC	92.702	J						[HC 92.702, rel. min. Joaquim Barbosa, j. 18-2-2010, P, DJE de 26-3-2010.]
1256	HC	89.339	C						[HC 89.339, rel. min. Cezar Peluso, j. 2-2-2010, 2ª T, DJE de 19-2-2010.]
1257	RHC	84.570	C						[RHC 84.570, rel. min. Cezar Peluso, j. 2-2-2010, 2ª T, DJE de 26-3-2010.]
1258	HC	100.244							[HC 100.244 AgR, rel. min. Eros Grau, j. 24-11-2009, 2ª T, DJE de 19-2-2010.]
1259	HC	100.097	J						[HC 100.097, rel. min. Joaquim Barbosa, j. 3-11-2009, 2ª T, DJE de 27-11-2009.]
1260	HC	90.378	M						[HC 90.378, rel. min. Marco Aurélio, j. 13-10-2009, 1ª T, DJE de 6-11-2009.]
1261	HC	97.649							[HC 97.649 AgR, rel. min. Ellen Gracie, j. 15-9-2009, 2ª T, DJE de 9-10-2009.]
1262	HC	88.747							[HC 88.747 AgR, rel. min. Ayres Britto, j. 15-9-2009, 1ª T, DJE de 29-10-2009.]
1263	HC	98.668	M						[HC 98.668, rel. min. Marco Aurélio, j. 15-9-2009, 1ª T, DJE de 9-10-2009.]
1264	HC	99.369							[HC 99.369 AgR, rel. min. Cezar Peluso, j. 18-8-2009, 2ª T, DJE de 16-10-2009.]
1265	HC	95.563	M						[HC 95.563, rel. min. Marco Aurélio, j. 23-6-2009, 1ª T, DJE de 21-8-2009.]
1266	HC	96.220	C						[HC 96.220, rel. min. Cármen Lúcia, j. 2-6-2009, 1ª T, DJE de 1º-7-2009.]
1267	HC	87.107	C						[HC 87.107, rel. min. Cezar Peluso, j. 2-6-2009, 2ª T, DJE de 26-6-2009.]
1268	RHC	94.444	J						[RHC 94.444, rel. min. Joaquim Barbosa, j. 24-3-2009, 2ª T, DJE de 8-5-2009.]
1269	HC	95.270	C						[HC 95.270, rel. min. Cármen Lúcia, j. 24-3-2009, 1ª T, DJE de 24-4-2009.]
