index	block_type	html_class	norm_anchor	norm_anchor_type	editorial_category	text	links_count	first_link	bracket_meta
2233	D_metadados	com	LXXVIII - a todos, no âmbito judicial e administrativo, são assegurados a razoável duração do proces	inc		O Princípio Constitucional da Duração Razoável do processo, previsto no art. 5º, LXXVII, da Constituição Federal e no art. 8º da Convenção Americana de Direitos Humanos [CADH; Caso Baena Ricardo e outros v. Panamá], aplica-se a qualquer procedimento estatal, com três sentidos distintos. O primeiro é	0		[CADH; Caso Baena Ricardo e outros v. Panamá]
2828	D_metadados	com	I - caráter nacional;	inc		O cerne da controvérsia envolve os temas da responsabilidade civil dos diretórios partidários e da eventual solidariedade passiva entre os órgãos partidários nacional, estadual e municipal. Ambas as questões foram definidas pelo Supremo Tribunal Federal na ADC nº 31/DF, quando se atestou a constituc	1	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15380053263&ext=.pdf	[II, “a” ] | [II, “b” ] | [II, “ c” 1ª parte]
2840	D_metadados	com	§ 1º É assegurada aos partidos políticos autonomia para definir sua estrutura interna e estabelecer 	par		O cerne da controvérsia envolve os temas da responsabilidade civil dos diretórios partidários e da eventual solidariedade passiva entre os órgãos partidários nacional, estadual e municipal. Ambas as questões foram definidas pelo Supremo Tribunal Federal na ADC nº 31/DF, quando se atestou a constituc	1	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15380053263&ext=.pdf	[II, “a” ] | [II, “b” ] | [II, “ c” 1ª parte]
9142	D_metadados	com	§ 8º Os Municípios poderão constituir guardas municipais destinadas à proteção de seus bens, serviço	par	julgados_correlatos	As Guardas Municipais são previstas constitucionalmente no artigo 144, do Capítulo III, Título V (&ldquo;Da segurança pública&rdquo;), portanto, cumprem papel nas atividades estatais de segurança pública, conforme expressa previsão constitucional e regulamentação legal, desempenhando função pública 	0		[RE 1.471.280 AgR , rel. min. Alexandre de Moraes, j. 26.02.2024, 1&ordf; T, DJE de 06.03.2024.]
9395	D_metadados	com	I - exigir ou aumentar tributo sem lei que o estabeleça;	inc	repercussao_geral	O Fator Acidentário de Prevenção (FAP), previsto no art. 10 da Lei nº 10.666/2003, nos moldes do regulamento promovido pelo Decreto 3.048/99 (RPS) atende ao princípio da legalidade tributária (art. 150, I, CRFB/88). https://portal.stf.jus.br/processos/detalhe.asp?incidente=4216984 " target="_blank">	1	https://portal.stf.jus.br/processos/detalhe.asp?incidente=4216984	[RE 677.725 , rel. min. Luiz Fux, j. 11-11-2021, P, DJE de 16-12-2022, Tema 554, com mérito julgado.]
