index	tipo	numero	label	title	texto	path	line_start
44	inciso	XV	XV		é livre a locomoção no território nacional em tempo de paz, podendo qualquer pessoa, nos termos da lei, nele entrar, permanecer ou dele sair com seus bens;	TÍTULO II > CAPÍTULO I > Art. 5 > XV	52
45	inciso	XVI	XVI		todos podem reunir-se pacificamente, sem armas, em locais abertos ao público, independentemente de autorização, desde que não frustrem outra reunião anteriormente convocada para o mesmo local, sendo apenas exigido prévio aviso à autoridade competente;	TÍTULO II > CAPÍTULO I > Art. 5 > XVI	53
46	inciso	XVII	XVII		é plena a liberdade de associação para fins lícitos, vedada a de caráter paramilitar;	TÍTULO II > CAPÍTULO I > Art. 5 > XVII	54
47	inciso	XVIII	XVIII		a criação de associações e, na forma da lei, a de cooperativas independem de autorização, sendo vedada a interferência estatal em seu funcionamento;	TÍTULO II > CAPÍTULO I > Art. 5 > XVIII	55
48	inciso	XIX	XIX		as associações só poderão ser compulsoriamente dissolvidas ou ter suas atividades suspensas por decisão judicial, exigindo-se, no primeiro caso, o trânsito em julgado;	TÍTULO II > CAPÍTULO I > Art. 5 > XIX	56
49	inciso	XX	XX		ninguém poderá ser compelido a associar-se ou a permanecer associado;	TÍTULO II > CAPÍTULO I > Art. 5 > XX	57
50	inciso	XXI	XXI		as entidades associativas, quando expressamente autorizadas, têm legitimidade para representar seus filiados judicial ou extrajudicialmente;	TÍTULO II > CAPÍTULO I > Art. 5 > XXI	58
51	inciso	XXII	XXII		é garantido o direito de propriedade;	TÍTULO II > CAPÍTULO I > Art. 5 > XXII	59
52	inciso	XXIII	XXIII		a propriedade atenderá a sua função social;	TÍTULO II > CAPÍTULO I > Art. 5 > XXIII	60
53	inciso	XXIV	XXIV		a lei estabelecerá o procedimento para desapropriação por necessidade ou utilidade pública, ou por interesse social, mediante justa e prévia indenização em dinheiro, ressalvados os casos previstos nesta Constituição;	TÍTULO II > CAPÍTULO I > Art. 5 > XXIV	61
54	inciso	XXV	XXV		no caso de iminente perigo público, a autoridade competente poderá usar de propriedade particular, assegurada ao proprietário indenização ulterior, se houver dano;	TÍTULO II > CAPÍTULO I > Art. 5 > XXV	62
55	inciso	XXVI	XXVI		a pequena propriedade rural, assim definida em lei, desde que trabalhada pela família, não será objeto de penhora para pagamento de débitos decorrentes de sua atividade produtiva, dispondo a lei sobre os meios de financiar o seu desenvolvimento;	TÍTULO II > CAPÍTULO I > Art. 5 > XXVI	63
56	inciso	XXVII	XXVII		aos autores pertence o direito exclusivo de utilização, publicação ou reprodução de suas obras, transmissível aos herdeiros pelo tempo que a lei fixar;	TÍTULO II > CAPÍTULO I > Art. 5 > XXVII	64
57	inciso	XXVIII	XXVIII		são assegurados, nos termos da lei:	TÍTULO II > CAPÍTULO I > Art. 5 > XXVIII	65
58	alinea	a	a)		a proteção às participações individuais em obras coletivas e à reprodução da imagem e voz humanas, inclusive nas atividades desportivas;	TÍTULO II > CAPÍTULO I > Art. 5 > XXVIII > a)	66
59	alinea	b	b)		o direito de fiscalização do aproveitamento econômico das obras que criarem ou de que participarem aos criadores, aos intérpretes e às respectivas representações sindicais e associativas;	TÍTULO II > CAPÍTULO I > Art. 5 > XXVIII > b)	67
60	inciso	XXIX	XXIX		a lei assegurará aos autores de inventos industriais privilégio temporário para sua utilização, bem como proteção às criações industriais, à propriedade das marcas, aos nomes de empresas e a outros signos distintivos, tendo em vista o interesse social e o desenvolvimento tecnológico e econômico do País;	TÍTULO II > CAPÍTULO I > Art. 5 > XXIX	68
61	inciso	XXX	XXX		é garantido o direito de herança;	TÍTULO II > CAPÍTULO I > Art. 5 > XXX	69
62	inciso	XXXI	XXXI		a sucessão de bens de estrangeiros situados no País será regulada pela lei brasileira em benefício do cônjuge ou dos filhos brasileiros, sempre que não lhes seja mais favorável a lei pessoal do &quot;de cujus&quot;;	TÍTULO II > CAPÍTULO I > Art. 5 > XXXI	70
63	inciso	XXXII	XXXII		o Estado promoverá, na forma da lei, a defesa do consumidor;	TÍTULO II > CAPÍTULO I > Art. 5 > XXXII	71
64	inciso	XXXIII	XXXIII		todos têm direito a receber dos órgãos públicos informações de seu interesse particular, ou de interesse coletivo ou geral, que serão prestadas no prazo da lei, sob pena de responsabilidade, ressalvadas aquelas cujo sigilo seja imprescindível à segurança da sociedade e do Estado; (Regulamento) (Vide Lei nº 12.527, de 2011)	TÍTULO II > CAPÍTULO I > Art. 5 > XXXIII	72
65	inciso	XXXIV	XXXIV		são a todos assegurados, independentemente do pagamento de taxas:	TÍTULO II > CAPÍTULO I > Art. 5 > XXXIV	73
66	alinea	a	a)		o direito de petição aos Poderes Públicos em defesa de direitos ou contra ilegalidade ou abuso de poder;	TÍTULO II > CAPÍTULO I > Art. 5 > XXXIV > a)	74
67	alinea	b	b)		a obtenção de certidões em repartições públicas, para defesa de direitos e esclarecimento de situações de interesse pessoal;	TÍTULO II > CAPÍTULO I > Art. 5 > XXXIV > b)	75
68	inciso	XXXV	XXXV		a lei não excluirá da apreciação do Poder Judiciário lesão ou ameaça a direito;	TÍTULO II > CAPÍTULO I > Art. 5 > XXXV	76
69	inciso	XXXVI	XXXVI		a lei não prejudicará o direito adquirido, o ato jurídico perfeito e a coisa julgada;	TÍTULO II > CAPÍTULO I > Art. 5 > XXXVI	77
70	inciso	XXXVII	XXXVII		não haverá juízo ou tribunal de exceção;	TÍTULO II > CAPÍTULO I > Art. 5 > XXXVII	78
71	inciso	XXXVIII	XXXVIII		é reconhecida a instituição do júri, com a organização que lhe der a lei, assegurados:	TÍTULO II > CAPÍTULO I > Art. 5 > XXXVIII	79
72	alinea	a	a)		a plenitude de defesa;	TÍTULO II > CAPÍTULO I > Art. 5 > XXXVIII > a)	80
73	alinea	b	b)		o sigilo das votações;	TÍTULO II > CAPÍTULO I > Art. 5 > XXXVIII > b)	81
74	alinea	c	c)		a soberania dos veredictos;	TÍTULO II > CAPÍTULO I > Art. 5 > XXXVIII > c)	82
75	alinea	d	d)		a competência para o julgamento dos crimes dolosos contra a vida;	TÍTULO II > CAPÍTULO I > Art. 5 > XXXVIII > d)	83
76	inciso	XXXIX	XXXIX		não há crime sem lei anterior que o defina, nem pena sem prévia cominação legal;	TÍTULO II > CAPÍTULO I > Art. 5 > XXXIX	84
77	inciso	XL	XL		a lei penal não retroagirá, salvo para beneficiar o réu;	TÍTULO II > CAPÍTULO I > Art. 5 > XL	85
78	inciso	XLI	XLI		a lei punirá qualquer discriminação atentatória dos direitos e liberdades fundamentais;	TÍTULO II > CAPÍTULO I > Art. 5 > XLI	86
79	inciso	XLII	XLII		a prática do racismo constitui crime inafiançável e imprescritível, sujeito à pena de reclusão, nos termos da lei;	TÍTULO II > CAPÍTULO I > Art. 5 > XLII	87
80	inciso	XLIII	XLIII		a lei considerará crimes inafiançáveis e insuscetíveis de graça ou anistia a prática da tortura , o tráfico ilícito de entorpecentes e drogas afins, o terrorismo e os definidos como crimes hediondos, por eles respondendo os mandantes, os executores e os que, podendo evitá-los, se omitirem; (Regulamento)	TÍTULO II > CAPÍTULO I > Art. 5 > XLIII	88
81	inciso	XLIV	XLIV		constitui crime inafiançável e imprescritível a ação de grupos armados, civis ou militares, contra a ordem constitucional e o Estado Democrático;	TÍTULO II > CAPÍTULO I > Art. 5 > XLIV	89
82	inciso	XLV	XLV		nenhuma pena passará da pessoa do condenado, podendo a obrigação de reparar o dano e a decretação do perdimento de bens ser, nos termos da lei, estendidas aos sucessores e contra eles executadas, até o limite do valor do patrimônio transferido;	TÍTULO II > CAPÍTULO I > Art. 5 > XLV	90
83	inciso	XLVI	XLVI		a lei regulará a individualização da pena e adotará, entre outras, as seguintes:	TÍTULO II > CAPÍTULO I > Art. 5 > XLVI	91
84	alinea	a	a)		privação ou restrição da liberdade;	TÍTULO II > CAPÍTULO I > Art. 5 > XLVI > a)	92
85	alinea	b	b)		perda de bens;	TÍTULO II > CAPÍTULO I > Art. 5 > XLVI > b)	93
86	alinea	c	c)		multa;	TÍTULO II > CAPÍTULO I > Art. 5 > XLVI > c)	94
87	alinea	d	d)		prestação social alternativa;	TÍTULO II > CAPÍTULO I > Art. 5 > XLVI > d)	95
88	alinea	e	e)		suspensão ou interdição de direitos;	TÍTULO II > CAPÍTULO I > Art. 5 > XLVI > e)	96
89	inciso	XLVII	XLVII		não haverá penas:	TÍTULO II > CAPÍTULO I > Art. 5 > XLVII	97
90	alinea	a	a)		de morte, salvo em caso de guerra declarada, nos termos do art. 84, XIX;	TÍTULO II > CAPÍTULO I > Art. 5 > XLVII > a)	98
91	alinea	b	b)		de caráter perpétuo;	TÍTULO II > CAPÍTULO I > Art. 5 > XLVII > b)	99
92	alinea	c	c)		de trabalhos forçados;	TÍTULO II > CAPÍTULO I > Art. 5 > XLVII > c)	100
93	alinea	d	d)		de banimento;	TÍTULO II > CAPÍTULO I > Art. 5 > XLVII > d)	101
94	alinea	e	e)		cruéis;	TÍTULO II > CAPÍTULO I > Art. 5 > XLVII > e)	102
95	inciso	XLVIII	XLVIII		a pena será cumprida em estabelecimentos distintos, de acordo com a natureza do delito, a idade e o sexo do apenado;	TÍTULO II > CAPÍTULO I > Art. 5 > XLVIII	103
96	inciso	XLIX	XLIX		é assegurado aos presos o respeito à integridade física e moral;	TÍTULO II > CAPÍTULO I > Art. 5 > XLIX	104
97	inciso	L	L		às presidiárias serão asseguradas condições para que possam permanecer com seus filhos durante o período de amamentação;	TÍTULO II > CAPÍTULO I > Art. 5 > L	105
98	inciso	LI	LI		nenhum brasileiro será extraditado, salvo o naturalizado, em caso de crime comum, praticado antes da naturalização, ou de comprovado envolvimento em tráfico ilícito de entorpecentes e drogas afins, na forma da lei;	TÍTULO II > CAPÍTULO I > Art. 5 > LI	106
99	inciso	LII	LII		não será concedida extradição de estrangeiro por crime político ou de opinião;	TÍTULO II > CAPÍTULO I > Art. 5 > LII	107
100	inciso	LIII	LIII		ninguém será processado nem sentenciado senão pela autoridade competente;	TÍTULO II > CAPÍTULO I > Art. 5 > LIII	108
101	inciso	LIV	LIV		ninguém será privado da liberdade ou de seus bens sem o devido processo legal;	TÍTULO II > CAPÍTULO I > Art. 5 > LIV	109
102	inciso	LV	LV		aos litigantes, em processo judicial ou administrativo, e aos acusados em geral são assegurados o contraditório e ampla defesa, com os meios e recursos a ela inerentes;	TÍTULO II > CAPÍTULO I > Art. 5 > LV	110
103	inciso	LVI	LVI		são inadmissíveis, no processo, as provas obtidas por meios ilícitos;	TÍTULO II > CAPÍTULO I > Art. 5 > LVI	111
104	inciso	LVII	LVII		ninguém será considerado culpado até o trânsito em julgado de sentença penal condenatória;	TÍTULO II > CAPÍTULO I > Art. 5 > LVII	112
105	inciso	LVIII	LVIII		o civilmente identificado não será submetido a identificação criminal, salvo nas hipóteses previstas em lei; (Regulamento)	TÍTULO II > CAPÍTULO I > Art. 5 > LVIII	113
