index	block_type	html_class	norm_anchor	norm_anchor_type	editorial_category	text	links_count	first_link	bracket_meta
9158	B_editorial	com-titulo	II - taxas, em razão do exercício do poder de polícia ou pela utilização, efetiva ou potencial, de s	inc	sumula	Súmulas É constitucional a taxa de fiscalização dos mercados de títulos e valores mobiliários instiuída pela Lei 7.940/1989. [ http://www.stf.jus.br/portal/jurisprudencia/listarJurisprudencia.asp?s1=665.NUME.%20NAO%20S.FLSV.&amp;base=baseSumulas "> Súmula 665 .] Preços de serviços públicos e taxas n	0		
9159	B_editorial	com-titulo	II - taxas, em razão do exercício do poder de polícia ou pela utilização, efetiva ou potencial, de s	inc	controle_concentrado	Controle concentrado de constitucionalidade &ldquo;1. O Estado-membro é competente para a instituição de taxa pelo exercício regular do poder de polícia sobre as atividades de pesquisa, lavra, exploração ou aproveitamento, de recursos minerários, realizada no Estado. 2. É inconstitucional a institui	1	https://portal.stf.jus.br/processos/detalhe.asp?incidente=6666958	
9181	B_editorial	com-titulo	II - taxas, em razão do exercício do poder de polícia ou pela utilização, efetiva ou potencial, de s	inc	repercussao_geral	Repercussão geral A segurança pública, presentes a prevenção e o combate a incêndios, faz-se, no campo da atividade precípua, pela unidade da Federação e, porque serviço essencial, tem como viabilizá-la a arrecadação de impostos, não cabendo ao Município a criação de taxa para tal fim. [ http://redi	0		
9186	B_editorial	com-titulo	II - taxas, em razão do exercício do poder de polícia ou pela utilização, efetiva ou potencial, de s	inc	julgados_correlatos	Julgados correlatos (...) são inconstitucionais a instituição e a cobrança de taxas por atos praticados no interesse exclusivo da administração fiscal, necessários à cobrança dos respectivos tributos. [ https://portal.stf.jus.br/processos/detalhe.asp?incidente=6350087 " target="_blank">ARE 1.369.557	1	https://portal.stf.jus.br/processos/detalhe.asp?incidente=6350087	
9200	B_editorial	com-titulo	III - contribuição de melhoria, decorrente de obras públicas.	inc	julgados_correlatos	Julgados correlatos Esta Corte consolidou o entendimento no sentido de que a contribuição de melhoria incide sobre o quantum da valorização imobiliária. [ http://redir.stf.jus.br/paginador/paginador.jsp?docTP=AC&amp;docID=607145 "> AI 694.836 AgR , rel. min. Ellen Gracie, j. 24-11-2009, 2&ordf; T, D	0		
9205	B_editorial	com-titulo	§ 1º Sempre que possível, os impostos terão caráter pessoal e serão graduados segundo a capacidade e	par	sumula	Súmulas É inconstitucional a lei municipal que tenha estabelecido, antes da EC 29/2000, alíquotas progressivas para o IPTU, salvo se destinada a assegurar o cumprimento da função social da propriedade urbana. [ http://www.stf.jus.br/cgi-bin/nph-brs?d=SUMU&amp;n=&amp;s1=668&amp;l=20&amp;u=http://www.	0		
9206	B_editorial	com-titulo	§ 1º Sempre que possível, os impostos terão caráter pessoal e serão graduados segundo a capacidade e	par	controle_concentrado	Controle concentrado de constitucionalidade Não caracteriza ofensa aos princípios da equivalência (art. 145, II, da Constituição), da vedação ao confisco (art. 150, IV, da Constituição) e da capacidade contributiva (art. 145, §1&deg;, da Constituição) a alteração no valor das custas extrajudiciais q	1	http://portal.stf.jus.br/processos/detalhe.asp?incidente=6108505	
9208	B_editorial	com-titulo	§ 1º Sempre que possível, os impostos terão caráter pessoal e serão graduados segundo a capacidade e	par	repercussao_geral	Repercussão geral (...) tratando-se de imposto direto, a sua incidência poderá expressar, em diversas circunstâncias, progressividade ou regressividade direta. Todos os impostos, repito, estão sujeitos ao princípio da capacidade contributiva, especialmente os diretos, independentemente de sua classi	0		
9211	B_editorial	com-titulo	§ 1º Sempre que possível, os impostos terão caráter pessoal e serão graduados segundo a capacidade e	par	julgados_correlatos	Julgados correlatos (...) Imposto sobre Transmissão C ausa Mortis e Doação de Bens e Direitos. Grau de parentesco como parâmetro para a progressividade. Impossibilidade. [ http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=9318157 ">RE 854.869 AgR , rel. min. Cármen Lúcia, j. 25-8	0		
9222	B_editorial	com-titulo	§ 2º As taxas não poderão ter base de cálculo própria de impostos.	par	sumula_vinculante	Súmula vinculante É constitucional a adoção, no cálculo do valor de taxa, de um ou mais elementos da base de cálculo própria de determinado imposto, desde que não haja integral identidade entre uma base e outra. [ http://www.stf.jus.br/portal/jurisprudencia/listarJurisprudencia.asp?s1=29.NUME. E S.F	0		
9223	B_editorial	com-titulo	§ 2º As taxas não poderão ter base de cálculo própria de impostos.	par	sumula	Súmulas É constitucional a taxa de fiscalização dos mercados de títulos e valores mobiliários instituída pela Lei 7.940/1989. [ http://www.stf.jus.br/portal/jurisprudencia/listarJurisprudencia.asp?s1=665.NUME. NAO S.FLSV.&amp;base=baseSumulas "> Súmula 665 .] É inconstitucional a taxa municipal de c	0		
