index	block_type	html_class	norm_anchor	norm_anchor_type	editorial_category	text	links_count	first_link	bracket_meta
9257	B_editorial	com-titulo	a) definição de tributos e de suas espécies, bem como, em relação aos impostos discriminados nesta C	ali	repercussao_geral	Repercussão geral É inconstitucional lei municipal que estabelece impeditivos à submissão de sociedades profissionais de advogados ao regime de tributação fixa em bases anuais na forma estabelecida por lei nacional. [ http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=750803454 " 	0		
9260	B_editorial	com-titulo	a) definição de tributos e de suas espécies, bem como, em relação aos impostos discriminados nesta C	ali	julgados_correlatos	Julgados correlatos (...) cabe aos Municípios o exercício da competência tributária relacionada ao ISSQN, no qual, observados os parâmetros materiais da Constituição da República e da lei complementar referida em seu art. 146, III, a , inclui-se a indicação do sujeito passivo. Portanto, ao descrever	0		
9265	B_editorial	com-titulo	b) obrigação, lançamento, crédito, prescrição e decadência tributários;	ali	sumula_vinculante	Súmula vinculante São inconstitucionais o parágrafo único do art. 5º do DL 1.569/1977 e os arts. 45 e 46 da Lei 8.212/1991, que tratam de prescrição e decadência de crédito tributário. [ http://www.stf.jus.br/portal/jurisprudencia/listarJurisprudencia.asp?s1=8.NUME.%20E%20S.FLSV.&amp;base=baseSumula	0		
9266	B_editorial	com-titulo	b) obrigação, lançamento, crédito, prescrição e decadência tributários;	ali	controle_concentrado	Controle concentrado de constitucionalidade A regulação tem como objetivo promover o interesse público, atingindo seu objetivo quando veicula um processo político eficiente acompanhado de atuação de agências reguladoras também eficientes. A atuação independente e tecnicamente justificada deve ser re	1	http://portal.stf.jus.br/processos/detalhe.asp?incidente=5825141	
9270	B_editorial	com-titulo	b) obrigação, lançamento, crédito, prescrição e decadência tributários;	ali	repercussao_geral	Repercussão geral Desnecessidade de lei complementar para dispor sobre prescrição intercorrente tributária. A prescrição intercorrente tributária foi introduzida pela Lei nº 6.830/1980, que tem natureza de lei ordinária. O art. 40 desse diploma não afronta o art. 146, III, b, da CF/1988, pois o legi	1	https://portal.stf.jus.br/processos/detalhe.asp?incidente=4043240	
9277	B_editorial	com-titulo	b) obrigação, lançamento, crédito, prescrição e decadência tributários;	ali	julgados_correlatos	Julgado correlato O fato de na lei estadual prever-se como base de incidência o valor pago pelo adquirente, sem exclusão do destinado a remunerar os serviços embutidos, não implica transgressão direta ao preceito constitucional que disciplina a competência dos Municípios para instituir imposto sobre	1	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=129877&CLASSE=RE&cod_classe=437&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M	
9279	B_editorial	com-titulo	c) adequado tratamento tributário ao ato cooperativo praticado pelas sociedades cooperativas, inclus	ali	controle_concentrado	Controle concentrado de constitucionalidade Na ausência da lei a que se refere o art. 146, III, c , da Constituição, que estabelece que lei complementar disporá sobre o adequado tratamento do ato cooperativo, os Estados-Membros podem exercer sua competência residual de forma plena, inclusive institu	0		
9280	B_editorial	com-titulo	c) adequado tratamento tributário ao ato cooperativo praticado pelas sociedades cooperativas, inclus	ali	repercussao_geral	Repercussão geral Recurso extraordinário ao qual o STF dá provimento para declarar a incidência da contribuição ao PIS/Pasep sobre os atos (negócios jurídicos) praticados pela impetrante com terceiros tomadores de serviço, objeto da impetração. [ http://redir.stf.jus.br/paginadorpub/paginador.jsp?do	0		
9281	B_editorial	com-titulo	c) adequado tratamento tributário ao ato cooperativo praticado pelas sociedades cooperativas, inclus	ali	julgados_correlatos	Julgado correlato O fato de a Constituição determinar que seja estabelecido adequado tratamento tributário ao ato cooperativo não veda a incidência de CPMF sobre as movimentações financeiras efetuadas pelas sociedades cooperativas. [ http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;do	0		
9284	B_editorial	com-titulo	d) definição de tratamento diferenciado e favorecido para as microempresas e para as empresas de peq	ali	controle_concentrado	Controle concentrado de constitucionalidade Ação direta de inconstitucionalidade ajuizada contra o art. 13, § 3º, da LC 123/2006, que isentou as microempresas e as empresas de pequeno porte optantes pelo Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas	0		
9285	B_editorial	com-titulo	d) definição de tratamento diferenciado e favorecido para as microempresas e para as empresas de peq	ali	repercussao_geral	Repercussão geral &ldquo;É constitucional a imposição tributária de diferencial de alíquota do ICMS pelo Estado de destino na entrada de mercadoria em seu território devido por sociedade empresária aderente ao Simples Nacional, independentemente da posição desta na cadeia produtiva ou da possibilida	1	http://portal.stf.jus.br/processos/detalhe.asp?incidente=4983092	
9300	B_editorial	com-titulo	Art. 146-A. Lei complementar poderá estabelecer critérios especiais de tributação, com o objetivo de	art	julgados_correlatos	Julgado correlato American Virginia Indústria e Comércio Importação Exportação Ltda. pretende obter efeito suspensivo para recurso extraordinário admitido na origem no qual se opõe a interdição de estabelecimentos seus, decorrente do cancelamento do registro especial para industrialização de cigarro	1	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?SEQ=483580&PROCESSO=1657&CLASSE=AC%2DMC&cod_classe=1250&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=&EMENTA=2287	
9303	B_editorial	com-titulo	Art. 148. A União, mediante lei complementar, poderá instituir empréstimos compulsórios:	art	controle_concentrado	Controle concentrado de constitucionalidade A Lei 6.704/2015 do Estado do Piauí disciplina a transferência dos depósitos judiciais em dinheiro referentes a processos judiciais &ndash; tributários ou não tributários, realizados em processos vinculados ao Tribunal de Justiça do Estado do Piauí &ndash;	0		
9306	B_editorial	com-titulo	Art. 148. A União, mediante lei complementar, poderá instituir empréstimos compulsórios:	art	repercussao_geral	Repercussão geral É constitucional o artigo 5º da Lei nº 9.779/1999, no que autorizada a cobrança de Imposto de Renda sobre resultados financeiros verificados na liquidação de contratos de swap para fins de hedge. [ http://portal.stf.jus.br/processos/detalhe.asp?incidente=5743456 " target="_blank">R	1	http://portal.stf.jus.br/processos/detalhe.asp?incidente=5743456	
9307	B_editorial	com-titulo	Art. 148. A União, mediante lei complementar, poderá instituir empréstimos compulsórios:	art	julgados_correlatos	Julgados correlatos O STF, no julgamento do http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=210081 ">RE 146.615 -4, reconheceu que o empréstimo compulsório, instituído pela Lei 7.181/1983, cobrado dos consumidores de energia elétrica, foi recepcionado pela nova CF, na forma do 	0		
9313	B_editorial	com-titulo	Art. 149. Compete exclusivamente à União instituir contribuições sociais, de intervenção no domínio 	art	controle_concentrado	Controle concentrado de constitucionalidade Serviço Nacional de Aprendizagem do Cooperativismo. Contribuição para o seu financiamento. (...) A contribuição para o SESCOOP tem natureza jurídica de contribuição de intervenção no domínio econômico (art. 149 da Constituição) destinada a incentivar o coo	0		
9317	B_editorial	com-titulo	Art. 149. Compete exclusivamente à União instituir contribuições sociais, de intervenção no domínio 	art	repercussao_geral	Repercussão geral &ldquo;Os créditos presumidos de IPI, instituídos pela Lei nº 9.363/1996, não integram a base de cálculo da contribuição para o PIS e da COFINS, sob a sistemática de apuração cumulativa (Lei nº 9.718/1998), pois não se amoldam ao conceito constitucional de faturamento.&rdquo;. [ ht	0		
9318	B_editorial	com-titulo	Art. 149. Compete exclusivamente à União instituir contribuições sociais, de intervenção no domínio 	art	&ldquo;(...) III - É constitucional a contribuição social destinada ao Serviço N	&ldquo;(...) III - É constitucional a contribuição social destinada ao Serviço Nacional de Aprendizagem Rural (SENAR), de que trata o art. 25, § 1º, da Lei nº 8.870/1994, inclusive na redação conferida pela Lei nº 10.256/2001". [ https://portal.stf.jus.br/processos/downloadPeca.asp?id=15358007953&am	1	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15358007953&ext=.pdf	
9323	B_editorial	com-titulo	Art. 149. Compete exclusivamente à União instituir contribuições sociais, de intervenção no domínio 	art	julgados_correlatos	Julgados correlatos (...) jurisprudência firmada no âmbito deste STF, no sentido de que a contribuição compulsória para o custeio dos serviços de saúde deve incidir somente sobre um dos cargos exercidos pelo servidor. [ http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=7291230 ">	0		
9335	B_editorial	com-titulo	§ 1º A União, os Estados, o Distrito Federal e os Municípios instituirão, por meio de lei, contribui	par	controle_concentrado	Controle concentrado de constitucionalidade &ldquo;É constitucional a majoração da alíquota de contribuição dos servidores públicos estaduais mediante lei ordinária (CF, art. 149, § 1º), inexistindo reserva de lei complementar na matéria, cabendo, inclusive, para esse efeito, a edição de medida prov	1	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15367714621&ext=.pdf	
9337	B_editorial	com-titulo	§ 1º A União, os Estados, o Distrito Federal e os Municípios instituirão, por meio de lei, contribui	par	repercussao_geral	Repercussão geral A ausência de estudo atuarial específico e prévio à edição de lei que aumente a contribuição previdenciária dos servidores públicos não implica vício de inconstitucionalidade, mas mera irregularidade que pode ser sanada pela demonstração do déficit financeiro ou atuarial que justif	1	http://portal.stf.jus.br/processos/detalhe.asp?incidente=4737198	
9338	B_editorial	com-titulo	§ 1º A União, os Estados, o Distrito Federal e os Municípios instituirão, por meio de lei, contribui	par	julgados_correlatos	Julgados correlatos Regime previdenciário próprio de servidor público municipal. Período anterior ao regime eminentemente contributivo da EC 20/1998. Exclusão do regime geral de previdência social, independentemente de contribuição dos segurados. [ http://redir.stf.jus.br/paginadorpub/paginador.jsp?	0		
9342	B_editorial	com-titulo	§ 1º-A. Quando houver deficit atuarial, a contribuição ordinária dos aposentados e pensionistas pode	par	controle_concentrado	Controle concentrado de constitucionalidade Não ofende a razoabilidade ou o princípio tributário da vedação ao efeito confiscatório norma estadual que determine o incremento escalonado das alíquotas de contribuição previdenciária, de 11% a 14%, incidente sobre os servidores públicos ativos, inativos	1	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15361541900&ext=.pdf	
9344	B_editorial	com-titulo	§ 1º-B. Demonstrada a insuficiência da medida prevista no § 1º-A para equacionar o deficit atuarial,	par	controle_concentrado	Controle concentrado de constitucionalidade Não ofende a razoabilidade ou o princípio tributário da vedação ao efeito confiscatório norma estadual que determine o incremento escalonado das alíquotas de contribuição previdenciária, de 11% a 14%, incidente sobre os servidores públicos ativos, inativos	1	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15361541900&ext=.pdf	
9348	B_editorial	com-titulo	I - não incidirão sobre as receitas decorrentes de exportação; (Incluído pela EC 33/2001)	inc	repercussao_geral	Repercussão geral O melhor discernimento acerca do alcance da imunidade tributária nas exportações indiretas se realiza a partir da compreensão da natureza objetiva da imunidade, que está a indicar que imune não é o contribuinte, &lsquo;mas sim o bem quando exportado&rsquo;, portanto, irrelevante se	0		
9352	B_editorial	com-titulo	I - não incidirão sobre as receitas decorrentes de exportação; (Incluído pela EC 33/2001)	inc	julgados_correlatos	Julgados correlatos A contribuição ao SENAR deve ser enquadrada entre as contribuições sociais gerais, vez que instituída com a finalidade de custear ações e serviços pertinentes ao Título VIII da CF/1988 (&ldquo;Da Ordem Social&rdquo;). Como consequência, por ser uma contribuição social geral, a re	1	https://portal.stf.jus.br/processos/detalhe.asp?incidente=6348441	
9358	B_editorial	com-titulo	III - poderão ter alíquotas: (Incluído pela EC 33/2001)	inc	repercussao_geral	Repercussão geral O acréscimo realizado pela EC 33/2001 no art. 149, § 2º, III, da Constituição Federal não operou uma delimitação exaustiva das bases econômicas passíveis de tributação por toda e qualquer contribuição social e de intervenção no domínio econômico. O emprego, pelo art. 149, § 2º, III	0		
9360	B_editorial	com-titulo	a) ad valorem , tendo por base o faturamento, a receita bruta ou o valor da operação e, no caso de i	ali	repercussao_geral	Repercussão geral A contribuição prevista no artigo 1º da Lei Complementar 110/2001 foi recepcionada pela Emenda Constitucional 33/2001. [ https://portal.stf.jus.br/processos/detalhe.asp?incidente=6136287 " target="_blank">RE 1.317.786 , rel. min. Luiz Fux, j. 3-2-2022, P, DJE de 10-2-2022, Tema 1.1	1	https://portal.stf.jus.br/processos/detalhe.asp?incidente=6136287	
9367	B_editorial	com-titulo	Art. 149-A Os Municípios e o Distrito Federal poderão instituir contribuição, na forma das respectiv	art	repercussao_geral	Repercussão geral O artigo 149-A, da Constituição Federal, incluído pela Emenda Constitucional 39/2002, dispõe que &ldquo;Os Municípios e o Distrito Federal poderão instituir contribuição, na forma das respectivas leis, para o custeio do serviço de iluminação pública, observado o disposto no art. 15	0		
